id,lemma,pos,count
8999,пралезці,VERB,5
9000,песня,ADV,5
9001,зямці,NOUN,5
9002,пастроіць,VERB,5
9003,азвцца,VERB,5
9004,сцяпаначка,PROPN,5
9005,хаос,NOUN,5
9006,горды,NOUN,5
9007,ўнук,NOUN,5
9008,дурне,NOUN,5
9009,пішчаць,VERB,5
9010,хваёвы,NOUN,5
9011,матылёк,NOUN,5
9012,другі,NOUN,5
9013,чалавек,ADV,5
9014,ўсягды,ADV,5
9015,п’янка,NOUN,5
9016,слёзка,NOUN,5
9017,сутонне,NOUN,5
9018,драць,NOUN,5
9019,нягода,ADV,5
9020,прыпомне,NOUN,5
9021,тф,ADV,5
9022,вечарынка,NOUN,5
9023,плюнуць,NOUN,5
9024,пуз,NOUN,5
9025,стыль,NOUN,5
9026,прыкметны,ADJ,5
9027,тытан,NOUN,5
9028,кава,NOUN,5
9029,пуст,ADV,5
9030,выйграць,VERB,5
9031,смутна,ADJ,5
